PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),NUTS 2021,Responsible organisation,Responsible organisation category,Functions of Government (COFOG level I),Functions of Government (COFOG level II), Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Primary Technology,Secondary Technology,Interaction,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Collaboration type,Procurement (EU Model Contractual AI),Funding source,GovTech,Company name or GovTech ID,GovTech Initiative + ID,Open components in input,Open components in output,Stories link,Date updated,Unnamed: 56
PSTW-2463,European AI Factories for businesses,https://digital-strategy.ec.europa.eu/it/policies/ai-factories,"AI factories are dynamic ecosystems that foster innovation, collaboration, and development in the field of artificial intelligence (AI). They bring together computing power, data, and talent to create cutting-edge AI models and applications. These factories promote collaboration across Europe by connecting supercomputing centres, universities, small and medium-sized enterprises (SMEs), industry, and financial actors. AI factories serve as hubs driving progress in AI applications across various sectors such as health, manufacturing, climate, finance, space, and more. The network of AI Factories across Europe includes several key initiatives: FIA Austria in Austria, JAIF and HammerHAI in Germany, Meluxina-AI in Luxembourg, MIMER in Sweden, BRAIN++ in Bulgaria, FIA PIAST in Poland, LUMI AIF in Finland, Pharos in Greece, BSC AIF in Spain, FIA2 in France, IT4LIA in Italy, and SLAIF in Slovenia.",Across Countries,European Union,EU,European Commission,European Institution/Agency,General public services,General public services n.e.c.,Implemented,2024,,"Analysis, monitoring and regulatory research",Innovating Public Policy ,Yes,Yes,Artificial Intelligence,Quantum Computing,G2B,x,,x,x,x,x,,,,,,,,,,,,,https://digital-strategy.ec.europa.eu/it/policies/ai-factories,Learning,Machine learning,AI Services,,,,"Consortium (research institutions, private sector and other PAs)",,EU-funded project,,,,,,,11/06/2025,
PSTW-2464,Norwegian University of Science and Technology testing the utility and safety of Microsoft's AI assistant in public sector organisations,https://nyheter.ntnu.no/en/ntnu-is-testing-ai-tool-on-behalf-of-the-public-sector/,"The Norwegian University of Science and Technology (NTNU), in collaboration with the Norwegian Data Protection Authority's regulatory sandbox for artificial intelligence (AI), is conducting a pilot project to assess the feasibility of implementing Microsoft's AI assistant, Copilot for Microsoft 365, within large public sector organisations. A key objective is to develop a ""Copilot readiness"" toolbox, providing guidelines and resources for other public and private entities interested in integrating AI solutions responsibly.",National,Norway,NO,Norwegian University of Science and Technology (NTNU),Academic-Research,General public services,General public services n.e.c.,Pilot,2024,,Internal management,Internal support processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,,,,x,x,,x,,,,,https://nyheter.ntnu.no/en/ntnu-is-testing-ai-tool-on-behalf-of-the-public-sector/,Learning,Machine learning,Generative AI,,,,Sandboxing,,National-funded project,,,,,,,11/06/2025,
PSTW-2465,x-CITE: Expanding the Experience of Citizens through Extended Reality and Metaverse in the City of Tampere,https://prigoda.hr/wp-content/uploads/2024/09/Tampere-Kastav-Smart-Future-Forum_kokkonen.pdf,"Between 2024 and 2026, the City of Tampere is advancing its Metaverse vision through the project x-CITE: Expanding the Experience of Citizens through Extended Reality. This initiative, led by Tampere, is supported by a €6.3 million grant from the Digital Europe Programme under the 2024 ‘Developing CitiVerse’ call. The x-CITE project aims to further the development of the CitiVerse as a tool for human-centric smart city innovation. It focuses on enhancing citizen experience and engagement through extended reality (XR) technologies in areas such as urban planning, social participation, culture, and tourism. As part of x-CITE, Tampere’s CitiVerse pilot will explore the integration of physical art and event experiences with XR technologies in public spaces and at the Nokia Arena. The pilot seeks to reach new audiences and broaden access to cultural spaces through immersive technologies. In parallel, and in connection with its Data-Driven City for Citizens programme, Tampere began experimenting with metaverse and CitiVerse applications in 2023. This included the development and testing of immersive digital museum experiences at the Museum Centre Vapriikki.",Local,Finland,FI197,City of Tampere,Local Government,General public services,General public services n.e.c.,Pilot,2024,2026,Internal management,Internal support processes,No,Yes,Virtual Worlds,Artificial Intelligence,G2C,x,,x,x,x,x,,,,,,,,,,,,,https://prigoda.hr/wp-content/uploads/2024/09/Tampere-Kastav-Smart-Future-Forum_kokkonen.pdf,,,,,,,,,EU-funded project,,,,,,,11/06/2025,
PSTW-2466,TwIN - Urban Digital Twin in the Region of Navarra,https://twininnovacion.com/,"The objective of this project is to promote collaboration between companies and the public administration to use this technology for the benefit of the citizens of the Region of Navarra. To achieve this, TwIN in the Region of Navarra has two lines of work:
- TwIN Govtech , an open innovation program to respond quickly to the challenges of Pamplona City Council, the biggest city of the region.
- TwIN Lab , a training and experimentation space for the Navarrese ecosystem.",Local,Spain,ES220,Government of Navarra,Local Government,General public services,General public services n.e.c.,Pilot,2025,,Internal management,Internal support processes,No,Yes,Digital Twins,,G2G,,,,,,,x,,x,,x,,,,,,,,https://twininnovacion.com/,,,,,,,"Consortium (research institutions, private sector and other PAs)",,EU-funded project,,,,,,,11/06/2025,
PSTW-2467,BasqueLLM research project launched the Llama-eus-8B neural model in Basque,https://www.orai.eus/en/blog/new-neural-model-artificial-intelligence-basque,"Orai NLP Teknologiak, Elhuyar's AI centre, has developed Llama-eus-8B, a new neural language model (LLM, Large Language Model) designed to facilitate the development of AI systems that require the comprehension and generation of written Basque. This is a foundational model, i.e. it is the type of model that is used as the basis for generative AI (or the well-known chatbots). Llama-eus-8B is the most advanced for the Basque language within the sphere of the foundational models regarded as light (less than 10 billion parameters). This model has been developed within the BasqueLLM research project, partly funded by the Chartered Provincial Council of Gipuzkoa through the Gipuzkoa Network Programme for Science, Technology and Innovation.",Regional,Spain,ES,Elhuyar,Non-governmental,General public services,General public services n.e.c.,Implemented,2024,,Public services and engagement,Service personalisation (various),No,Yes,Artificial Intelligence,,G2C,x,x,,,,x,,,,,,,,,,,,,https://www.orai.eus/en/blog/new-neural-model-artificial-intelligence-basque,Learning,Machine learning,Generative AI,,,,Universities/Research organisations,,EU-funded project,,,,,https://huggingface.co/orai-nlp/Llama-eus-8B,,11/06/2025,
PSTW-2468,AI tool for industries' application of EU regulations on cybersecurity,https://www.ziur.eus/en/observatory/virtual-assistant-nis2,"ZIUR, the Industrial Cybersecurity Center dependent on the Provincial Council of Gipuzkoa, has launched an Artificial Intelligence tool that aims to help industrial companies in the application of applications of the Regulation on Cybersecurity approved by the EU.",Local,Spain,ES,Industrial Cybersecurity Center of Gipuzkoa,Non-governmental,General public services,General public services n.e.c.,Implemented,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,,,,x,,,,,,,,,,,,,https://www.ziur.eus/en/observatory/virtual-assistant-nis2,Communication,Natural language processing,,,,chatbot,Other PAs,,,,,Ziur - GT-126,,,,11/06/2025,
PSTW-2469,Streamlining Environmental Permitting Processes with Multi-Agent AI in Denmark,https://www.cbrain.com/case-study/ai-assisted-environmental-permitting,"The digital transformation of the Danish environmental permitting process has improved efficiency, transparency, and compliance. By transitioning from a traditionally lengthy and manual process to a fully digital and AI-assisted system, the EPA has been able to process applications faster while maintaining regulatory integrity. The structured workflow has eliminated bottlenecks, ensuring that permits are reviewed and approved in a timely manner. The centralized platform has improved coordination among agencies and stakeholders, reducing uncertainty for project developers. Applicants now have real-time access to their application status, improving predictability in the permitting process. Additionally, the integration of AI has enhanced regulatory decision-making by providing caseworkers with access to historical data and analytical tools, improving both accuracy and efficiency. By leveraging digital tools and AI-driven insights, the Danish EPA has established a scalable and replicable model for modernizing environmental permitting. The new system not only accelerates approvals for renewable energy projects but also ensures that environmental regulations are enforced with greater consistency and reliability. The transformation of the permitting process serves as a model for other agencies seeking to optimise complex regulatory procedures while supporting national and international climate goals. The solution was designed with cBrain.",National,Denmark,DK,Danish Environmental Protection Agency,Central-Government,Environmental protection,Environmental protection n.e.c.,Implemented,2024,,Internal management,Internal primary processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,x,,x,,,,,https://www.cbrain.com/company/about,Reasoning,Optimisation,Automated reasoning and Automated Decision Making (ADM),,,,Private corporation,,,,cBrain,,,,,11/06/2025,
PSTW-2471,AI-driven citizen engagement platform for the City of Prague,https://rootcode.io/news/building-an-ai-driven-citizen-engagement-platform-for-prague,"Rootcode, a global software engineering company, is collaborating with the City of Prague to develop an AI-driven citizen engagement platform. This initiative aims to streamline the reporting and resolution of citywide issues by enabling residents to report problems, which the platform then automatically categorises and routes to the appropriate municipal departments, eliminating the need for traditional email communications. The project is part of CommuniCity, a European Union-funded initiative focused on citizen-centric innovation, and is being developed in partnership with Prague's OICT organisation. This collaboration underscores Prague's commitment to digital innovation and AI adoption, enhancing public service efficiency and setting new standards in citizen engagement .",Local,Czechia,CZ01,City of Prague,Local Government,General public services,General public services n.e.c.,Pilot,2025,,Public services and engagement,Service integration (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,x,,x,x,https://rootcode.io/news/building-an-ai-driven-citizen-engagement-platform-for-prague,Reasoning,Automated reasoning and Automated Decision Making (ADM),,,,,GovTech,,,Yes,rootcode - GTS-1082,,,,,11/06/2025,
PSTW-2472,Skendy - Multilingual Chatbot supporting Ukrainian refugees in the City of Amsterdam,https://communicity-project.eu/pilots-filter/t-apps-b-v-skendy-an-assistant-for-your-documents-2/,"Skendy is an AI-powered solution developed during the Second Round of Open Calls for the cities of Amsterdam and Prague, aimed at addressing the administrative challenges often faced by immigrants and refugees. The solution adapts an existing technological platform to meet the specific needs of these groups. Skendy simplifies bureaucratic processes by translating, organising, and setting reminders for important documents, such as government letters and utility bills.",Local,Netherlands,NL326,City of Amsterdam,Local Government,General public services,General public services n.e.c.,Pilot,2025,,Public services and engagement,Service personalisation (various),Yes,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,"https://communicity-project.eu/2025/04/11/an-ai-tool-to-support-immigrants-and-refugees-with-administrative-tasks/#:~:text=Skendy%20is%20an%20AI%2Dpowered,specific%20needs%20of%20these%20groups.",Learning,Machine learning,,,,chatbot,Open Innovation/Challenges,,EU-funded project,Yes,,CommuniCity - GT-127,,,,11/06/2025,
PSTW-2474,nShield - Predictive Maintenance for escalators downtimes in Prague,https://www.neuronsw.com/predictive-maintenance-for-dpp-pragues-public-transport-company/,"The goal of the project is to minimise the number of failures and escalators downtimes. Thanks to the system information handed to the service team the service time and its costs are lowered. nShield, the customer software, displays the escalator behavior analysed using audio and AI in real-time. The data is collected by IoT HW solution with acoustic sensors. Based on mathematical models the system can identify the anomaly and the deviation of the component from the nominal state. When we apply the knowledge of the mechanical component the system can then identify the particular failure and notify an operator with a recommendation to particular maintenance or displacement.",Local,Czechia,CZ,"DPP, Prague’s Public Transport Company",Non-governmental,Economic affairs,Transport,Implemented,2023,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2B,x,,x,x,x,,,,,,,,,,,,,,https://www.neuronsw.com/predictive-maintenance-for-dpp-pragues-public-transport-company/,Perception,Audio processing,,,,,GovTech,,,Yes,Neuron Soundware - GTS-61,,,,,11/06/2025,
PSTW-2475,ADLER: Local Language Models for Sensitive Data,https://www.bundesdruckerei.de/en/innovation-hub/project-ki-kc,"ADLER (Ausführung datensicherer LLMs, evaluiert auf resilienten Geräten, “execution of data-secure LLMs, evaluated on resilient devices”) an on-edge document processing assistant, investigates how small language models can be operated locally on commercially available devices. This allows sensitive data to be processed directly on the work tool without having to upload it via networks. This strengthens data sovereignty and opens up new utilisation contexts, especially for confidential information such as VS-NfD data.",National,Germany,DE,Bundesdruckerei Group – Federal AI Competence Center,Central-Government,General public services,R&D general public services.,Pilot,2023,,Internal management,Data Sharing Management,No,Yes,Artificial Intelligence,,G2B,x,,,x,x,x,,,,,,,,,,,,,https://www.bundesdruckerei.de/en/innovation-hub/project-ki-kc,Learning,Machine learning,Generative AI,AI Services,,,Fully internal,,National-funded project,,,,,,,11/06/2025,
PSTW-2476,MÖVE: Benchmarking of Language Models for Public Administration,https://www.bundesdruckerei.de/en/innovation-hub/project-ki-kc,"MÖVE (Modelle für die öffentliche Verwaltung evaluieren, “evaluate models for public administration”) is a framework for evaluating language models with regard to their performance in administrative tasks, results in German and governance criteria such as social fairness, hallucinations (false or misleading results) and conformity with the AI regulation EU AI Act. The aim is to establish a sound basis for arriving at decisions on the use of language models in public administration.",National,Germany,DE,Bundesdruckerei Group – Federal AI Competence Center,Central-Government,General public services,R&D general public services.,Pilot,2023,,Internal management,Internal support processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,x,,,,,https://www.bundesdruckerei.de/en/innovation-hub/project-ki-kc,Learning,Machine learning,Generative AI,AI Services,,,Fully internal,,National-funded project,,,,,,,11/06/2025,
PSTW-2477,AI Language Assistant for the German Federal Administration: Efficient Information Processing,https://www.bundesdruckerei.de/en/innovation-hub/project-ki-kc,"The language model project for AI-supported text analysis enables documents to be analysed quickly and comprehensively in order to extract relevant information and thus support decision-making. Automatic summaries, topic-related analyses and the identification of responsibilities increase the efficiency of administrative work.",National,Germany,DE,Bundesdruckerei Group – Federal AI Competence Center,Central-Government,General public services,R&D general public services.,Pilot,2023,,"Analysis, monitoring and regulatory research",Information analysis processes,No,Yes,Artificial Intelligence,,G2B,x,,,x,x,x,,,,,,,,,,,,,https://www.bundesdruckerei.de/en/innovation-hub/project-ki-kc,Learning,AI Services,,,,,Fully internal,,National-funded project,,,,,,,11/06/2025,
PSTW-2478,PLAIN: a data analysis platform for the entire German federal administration,https://www.bundesdruckerei.de/en/innovation-hub/plain,"PLAIN (Platform Analysis and Information System) enables the public administration to make decisive progress in the use of data for political action. In accordance with the Federal Government’s data and digital strategy, PLAIN is the cross-departmental infrastructure that lays the technological foundation for AI and data applications in the Federal Administration. The aim of PLAIN is to establish a standard platform for the entire federal administration to securely process and analyse large, heterogeneous data sets – without thematic restrictions. This platform provides the Federal Government’s ministries and subordinate federal authorities with a solution to increase their political analysis capabilities and implement many of their data-driven, demanding tasks and projects.",National,Germany,DE,Bundesdruckerei Group – Federal AI Competence Center,Central-Government,General public services,R&D general public services.,Pilot,2024,,"Analysis, monitoring and regulatory research",Information analysis processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,https://www.bundesdruckerei.de/en/innovation-hub/plain,Planning,Searching,AI Services,,,,Fully internal,,National-funded project,,,,,,,11/06/2025,
PSTW-2479,SOCIB 2030: Digital Twin of the Western Mediterranean,https://www.socib.es/media/uploads/productions/1410__en__3d48cbce0c663d801cd768ad667b2d3b521e2f6a.pdf,"The project has transitioned from building one large, all-encompassing digital twin of the ocean (DTO) for the entire Western Mediterranean to develop multiple and specialised DTO prototypes. This revised ‘modular’ approach offers greater agility in addressing the unique needs of various sectors while fostering seamless integration with the broader international DTO landscape and contributing to a cohesive and collaborative international effort to understand and protect our oceans. These DTO prototypes will serve as essential tools for researchers, decision-makers, and the private sector. By integrating knowledge, data management, forecasting, and visualization capabilities, they will enhance understanding of the ocean's role in climate change and address critical scientific and societal challenges aligned with the UN Ocean Decade. The three selected pilot applications (BRIFS, ONA Toolbox, and TIAMAT) provide a strong foundation for developing three Digital Twin prototypes in the Balearic Sea.
1. Digital Twin of a Marine Protected Area (MPA) - the case of Cabrera National Park
2. Digital Twin for Climate change adaptation planning - the case of Cala Millor beach
3. Digital Twin for Meteotsunami early warning system - the case of Cuitadella Harbor",Regional,Spain,ES,SOCIB - Balearic Islands Coastal Observing and Forecasting System,Non-governmental,Environmental protection,Environmental protection n.e.c.,Pilot,2025,,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Digital Twins,,G2G,,,,,,,x,,,x,x,,,,,,,,https://www.socib.es/media/uploads/productions/1410__en__3d48cbce0c663d801cd768ad667b2d3b521e2f6a.pdf,,,,,,,,,National-funded project,,,,,,,11/06/2025,
PSTW-2483,VELVET - Italian AI Open Source model,https://www.compubblica.unito.it/it/%E2%80%9Cvelvet%E2%80%9D-modello-italiano-di-ai-open-source-multilingua-multimodale-collaborazione-con-cineca,"​Velvet is an open-source, multilingual, and multimodal large language model (LLM) developed by the Italian company Almawave in collaboration with the inter-university consortium CINECA. Designed to prioritize the Italian language and content, Velvet also supports several other languages, including English, Spanish, Portuguese-Brazilian, German, and French .​ The model is trained on CINECA's Leonardo supercomputer, one of the most powerful in Europe, enabling it to handle various data types such as text, audio, and images . Velvet's architecture emphasizes energy efficiency and high performance, aligning with European regulatory frameworks like the AI Act and Data Act .​",National,Italy,IT,CINECA,Academic-Research,General public services,General public services n.e.c.,Pilot,2025,,Public services and engagement,Service personalisation (various),No,Yes,Artificial Intelligence,,G2B,x,x,x,x,x,x,,,,,,,,,,,,,https://www.compubblica.unito.it/it/%E2%80%9Cvelvet%E2%80%9D-modello-italiano-di-ai-open-source-multilingua-multimodale-collaborazione-con-cineca,Learning,Machine learning,Generative AI,,,,Private corporation,,National-funded project,No,Almaviva,,,,,11/06/2025,
PSTW-2485,Smart Street Lighting,https://loriot.io/use-cases/smart-lighting.html,"LORIOT's smart street lighting solution, implemented in Hafnarfjörður, Iceland, utilises LoRaWAN®-enabled controllers and the inteliLIGHT® platform to modernise urban lighting infrastructure. This system allows for precise control over 6,000 streetlights, enabling adaptive lighting based on real-time conditions. The integration has led to a 35% reduction in energy consumption and a 42% decrease in maintenance costs, while also enhancing public safety and supporting sustainability goals. The solution provides a scalable foundation for future smart city applications.",Local,Iceland,IS001,Hafnarfjörður Municipality,Local Government,Housing and community amenities,Street lighting.,Pilot,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://loriot.io/usecases.html,Planning,Optimisation,,,,,GovTech,,,Yes,Loriot - GTS-1084,,,,,11/06/2025,
PSTW-2486,Preserving History with Smart Technology: IoT Monitoring at the Colosseum,https://loriot.io/use-cases/historical-heritage-protection.html,"LORIOT's use case in historical heritage protection demonstrates the application of non-invasive, real-time IoT monitoring at the Colosseum in Rome. Collaborating with Move Solutions, LORIOT deployed LoRaWAN®-enabled sensors to monitor structural health without altering the monument's integrity. The system provides continuous data transmission via LORIOT's network server, offering real-time insights into structural anomalies and validating satellite data. This approach ensures the preservation of the Colosseum's historical authenticity while enabling proactive maintenance and safeguarding against potential damage.",Local,Italy,IT,Ministry of Cultural Heritage,National Government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",Pilot,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://loriot.io/usecases.html,Planning,Optimisation,,,,,GovTech,,,Yes,Loriot - GTS-1084,,,,,11/06/2025,
PSTW-2487,Water Network Monitoring,https://loriot.io/use-cases/water-monitoring.html,"LORIOT's Water Network Monitoring use case, implemented by WaterScope Zrt. in Tápióság, Hungary, demonstrates the application of IoT technology to enhance water supply and quality in areas lacking traditional infrastructure. By deploying WaterScope S2N data acquisition and wireless transmission devices, the system continuously monitors pumping stations, measuring parameters such as pump performance, operating time, power consumption, water pressure, and water meter data. These devices utilise a LoRa network to transmit data to the LORIOT Network Management System, enabling real-time monitoring and alerting capabilities. The solution effectively operates without human intervention, even in remote locations, and provides actionable insights to optimise water distribution and reduce losses. This initiative contributes to sustainable water management practices and supports cost savings for water utilities",Regional,Hungary,HU102,Region of Tápióság,Regional Government,Housing and community amenities,Water supply.,Pilot,2024,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://loriot.io/usecases.html,Planning,Optimisation,,,,,GovTech,,,Yes,Loriot - GTS-1084,,,,,11/06/2025,
PSTW-2488,Data-driven Wildfire Prevention System for Forest,https://loriot.io/use-cases/wildfire-prevention-system.html,"LORIOT’s Wildfire Prevention System, deployed in Salzburg, Austria, uses LoRaWAN® sensors to monitor environmental factors like weather and soil moisture across 350 square kilometers. Developed with the Forest Department of Salzburg, it calculates the Fire Weather Index to provide real-time fire risk data. This helps authorities make timely decisions on fire prevention, improving forest safety and supporting sustainable management.",Local,Austria,AT34,Forest Department of Salzburg,Local Government,Public order and safety,Fire-protection services ,Pilot,2023,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://loriot.io/usecases.html,Planning,Optimisation,,,,,GovTech,,,Yes,Loriot - GTS-1084,,,,,11/06/2025,
PSTW-2489,"German Ministry of Research, Technology, and Space provides a popular chatbot to make project funding regulations more accessible",https://www.deepset.ai/case-studies/bundesministerium-fur-forschung-technologie-und-raumfahrt-bmftr,"​The deepset AI Platform is an enterprise-grade solution designed to streamline the development and deployment of custom generative AI agents and applications. Built on the open-source Haystack framework, it offers a modular and composable architecture that enables organisations to rapidly prototype, test, and scale AI solutions without vendor lock-in. The platform has had application also at the Federal Government level. ",National,Germany,DE,"German Federal Ministry of Research, Technology, and Space (BMFTR)",Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2025,,Internal management,Internal support processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,https://www.deepset.ai/,Learning,Machine learning,Generative AI,,,,Private corporation,,,No,Deepset,,,,,11/06/2025,
PSTW-2498,PublicTwin for citizen engagement in Malmo for the renovation of the Nyhamnen harbor,https://www.bable-smartcities.eu/explore/use-cases/use-case/implementation-of-publictwin-for-citizen-engagement-in-malmo-nyhamnen-harbor-revitalization.html,"In Malmö’s Nyhamnen district, the city has implemented the PublicTwin platform to enhance citizen engagement in the harbour’s revitalisation process. This digital twin solution enables residents to interact with urban planning data through an intuitive, Generative AI-powered interface. By visualising proposed developments and contributing feedback in real time, citizens are empowered to play an active role in shaping their urban environment. The initiative fosters transparency, inclusivity, and data-driven decision-making, setting a benchmark for participatory urban development in smart cities.",Local,Sweden,SE003,City of Malmö,Local Government,Housing and community amenities,Community development.,Pilot,2025,,Public services and engagement,Engagement management,No,No,Digital Twins,Artificial Intelligence,G2C,x,,x,x,x,x,,,,,,,,,,,,,https://www.bable-smartcities.eu/explore/use-cases.html,Learning,Machine learning,Generative AI,,,,GovTech,,,Yes,PublicTwin - GTS-1085,,,,,11/06/2025,
PSTW-2499,AI-Tour guide in the City of Tampere,https://www.bable-smartcities.eu/explore/use-cases/use-case/ai-tour-guide.html,"The ""AI Tour Guide"" project in Tampere, Finland, introduces an innovative approach to enhancing the tourist experience through the use of smart glasses equipped with an AI-powered assistant. These glasses provide real-time, multilingual information and recommendations about local attractions, such as monuments, restaurants, and museums. Tourists can rent the smart glasses from various Points-of-Service (POS) located at key spots like the airport, train station, and the Visit Tampere office. The AI assistant, powered by Meta AI technology, ensures that visitors receive up-to-date and comprehensive information, making their exploration of Tampere more engaging and informative. Additionally, local businesses have the opportunity to update their information in the database, promoting their offerings directly to tourists and enhancing the overall visitor experience. ",Local,Finland,FI197,City of Tampere,Local Government,"Recreation, culture and religion",Cultural services.,Pilot,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.bable-smartcities.eu/explore/use-cases.html,Perception,Computer vision,,,,,GovTech,,,Yes,Soundxvision - GTS-1086,,,,,11/06/2025,
PSTW-2500,Bike sharing availability optimisation in the City of Kuopio,https://www.bable-smartcities.eu/explore/use-cases/use-case/bike-sharing-bike-availability-optimization-in-kuopio-finland.html,"The ""Bike Sharing Availability Optimisation"" project in Kuopio, Finland, addresses the challenge of uneven bike distribution in the city's popular electric bike rental service. To ensure bikes are available where and when needed, the City of Kuopio implemented an AI-driven solution that analyses historical usage data to predict demand patterns. The system communicates real-time redistribution instructions to logistics operators via SMS or other channels, guiding them to move bikes to high-demand locations. A feedback loop allows operators to report on the effectiveness of these actions, enabling continuous refinement of the AI model. This approach aims to enhance service reliability and encourage greater use of sustainable transportation options. ",Local,Finland,FI1D1,City of Kuopio ,Local Government,Economic affairs,Transport,Pilot,2024,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://www.bable-smartcities.eu/explore/use-cases.html,Planning,Optimisation,,,,,GovTech,,,Yes,Contrasec - GTS-1087,,,,,11/06/2025,
PSTW-2501,Regional AI Hubs/Centres for Health and Tourism,https://innovazione.gov.it/notizie/articoli/il-dipartimento-regioni-e-province-autonome-insieme-per-l-innovazione/,"AI Regional Hubs for Health and Tourism, presented by the Liguria Region (lead partner) in collaboration with Calabria, Lazio, Basilicata, Molise, Piedmont, Sicily, and the Autonomous Province of Trento, aims to pilot innovative solutions to address the issue of waiting lists in healthcare (including demand analysis and forecasting, adaptive resource allocation, appointment scheduling management, booking process support, and ethical and regulatory compliance). It also focuses on managing tourist flows to offer a personalised experience and enhance the overall quality of services.",National,Italy,IT,Liguria Region,Consortium,Health,Public health services.,Pilot,2025,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,x,x,x,x,,,,,,,,https://innovazione.gov.it/notizie/articoli/il-dipartimento-regioni-e-province-autonome-insieme-per-l-innovazione/,Planning,Optimisation,,,,,Other PAs,,National-funded project,,,,,,,11/06/2025,
PSTW-2502,Regional AI Hub/Centres for Environmental Data and Sustainable Mobility,https://innovazione.gov.it/notizie/articoli/il-dipartimento-regioni-e-province-autonome-insieme-per-l-innovazione/,"AI Regional Hubs for Environmental Data and Sustainable Mobility, developed within a federated framework and presented by the Lombardy Region (lead partner) together with the Veneto Region, aim to create a “smart land” through advanced analytical models built on a federated data architecture. The objective is to optimise environmental and mobility policies by leveraging artificial intelligence on a transregional scale to foster innovation and sustainability.",Regional,Italy,ITC4,Lombardy Region,Regional Government,Environmental protection,Environmental protection n.e.c.,Pilot,2025,,Internal management,Internal support processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,x,x,x,x,,,,,,,,https://innovazione.gov.it/notizie/articoli/il-dipartimento-regioni-e-province-autonome-insieme-per-l-innovazione/,Planning,Optimisation,,,,,Other PAs,,National-funded project,,,,,,,11/06/2025,
PSTW-2503,Regional AI Hubs/Centres for the PA,https://innovazione.gov.it/notizie/articoli/il-dipartimento-regioni-e-province-autonome-insieme-per-l-innovazione/,"AI Regional Hubs for Public Administration, presented by the Apulia Region (lead partner) in collaboration with Abruzzo, Marche, Umbria, Aosta Valley, Campania, and the Autonomous Province of Bolzano, aim to enhance the quality of administrative action and public sector work. The initiative supports human decision-making in public policy and technical-administrative procedures through the use of artificial intelligence.",Regional,Italy,ITF6,Puglia Region,Regional Government,General public services,General public services n.e.c.,Pilot,2025,,Internal management,Internal support processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,x,x,x,x,,,,,,,,https://innovazione.gov.it/notizie/articoli/il-dipartimento-regioni-e-province-autonome-insieme-per-l-innovazione/,Planning,Optimisation,,,,,Other PAs,,National-funded project,,,,,,,11/06/2025,
