PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),NUTS 2021,Responsible organisation,Responsible organisation category,Functions of Government (COFOG level I),Functions of Government (COFOG level II), Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Primary Technology,Secondary Technology,Interaction,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Collaboration type,Procurement (EU Model Contractual AI),Funding source,GovTech,Company name or GovTech ID,GovTech Initiative + ID,Open components in input,Open components in output,Stories link,Date updated,Unnamed: 56,Relevance Flag
PSTW-2471,AI-driven citizen engagement platform for the City of Prague,https://rootcode.io/news/building-an-ai-driven-citizen-engagement-platform-for-prague,"Rootcode, a global software engineering company, is collaborating with the City of Prague to develop an AI-driven citizen engagement platform. This initiative aims to streamline the reporting and resolution of citywide issues by enabling residents to report problems, which the platform then automatically categorises and routes to the appropriate municipal departments, eliminating the need for traditional email communications. The project is part of CommuniCity, a European Union-funded initiative focused on citizen-centric innovation, and is being developed in partnership with Prague's OICT organisation. This collaboration underscores Prague's commitment to digital innovation and AI adoption, enhancing public service efficiency and setting new standards in citizen engagement .",Local,Czechia,CZ01,City of Prague,Local Government,General public services,General public services n.e.c.,Pilot,2025,,Public services and engagement,Service integration (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,x,,x,x,https://rootcode.io/news/building-an-ai-driven-citizen-engagement-platform-for-prague,Reasoning,Automated reasoning and Automated Decision Making (ADM),,,,,GovTech,,,Yes,rootcode - GTS-1082,,,,,11/6/2025,,3
PSTW-2475,ADLER: Local Language Models for Sensitive Data,https://www.bundesdruckerei.de/en/innovation-hub/project-ki-kc,"ADLER (Ausführung datensicherer LLMs, evaluiert auf resilienten Geräten, “execution of data-secure LLMs, evaluated on resilient devices”) an on-edge document processing assistant, investigates how small language models can be operated locally on commercially available devices. This allows sensitive data to be processed directly on the work tool without having to upload it via networks. This strengthens data sovereignty and opens up new utilisation contexts, especially for confidential information such as VS-NfD data.",National,Germany,DE,Bundesdruckerei Group – Federal AI Competence Center,Central-Government,General public services,R&D general public services.,Pilot,2023,,Internal management,Data Sharing Management,No,Yes,Artificial Intelligence,,G2B,x,,,x,x,x,,,,,,,,,,,,,https://www.bundesdruckerei.de/en/innovation-hub/project-ki-kc,Learning,Machine learning,Generative AI,AI Services,,,Fully internal,,National-funded project,,,,,,,11/6/2025,,0
PSTW-2476,MÖVE: Benchmarking of Language Models for Public Administration,https://www.bundesdruckerei.de/en/innovation-hub/project-ki-kc,"MÖVE (Modelle für die öffentliche Verwaltung evaluieren, “evaluate models for public administration”) is a framework for evaluating language models with regard to their performance in administrative tasks, results in German and governance criteria such as social fairness, hallucinations (false or misleading results) and conformity with the AI regulation EU AI Act. The aim is to establish a sound basis for arriving at decisions on the use of language models in public administration.",National,Germany,DE,Bundesdruckerei Group – Federal AI Competence Center,Central-Government,General public services,R&D general public services.,Pilot,2023,,Internal management,Internal support processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,x,,,,,https://www.bundesdruckerei.de/en/innovation-hub/project-ki-kc,Learning,Machine learning,Generative AI,AI Services,,,Fully internal,,National-funded project,,,,,,,11/6/2025,,3
PSTW-2477,AI Language Assistant for the German Federal Administration: Efficient Information Processing,https://www.bundesdruckerei.de/en/innovation-hub/project-ki-kc,"The language model project for AI-supported text analysis enables documents to be analysed quickly and comprehensively in order to extract relevant information and thus support decision-making. Automatic summaries, topic-related analyses and the identification of responsibilities increase the efficiency of administrative work.",National,Germany,DE,Bundesdruckerei Group – Federal AI Competence Center,Central-Government,General public services,R&D general public services.,Pilot,2023,,"Analysis, monitoring and regulatory research",Information analysis processes,No,Yes,Artificial Intelligence,,G2B,x,,,x,x,x,,,,,,,,,,,,,https://www.bundesdruckerei.de/en/innovation-hub/project-ki-kc,Learning,AI Services,,,,,Fully internal,,National-funded project,,,,,,,11/6/2025,,0
PSTW-2478,PLAIN: a data analysis platform for the entire German federal administration,https://www.bundesdruckerei.de/en/innovation-hub/plain,"PLAIN (Platform Analysis and Information System) enables the public administration to make decisive progress in the use of data for political action. In accordance with the Federal Government’s data and digital strategy, PLAIN is the cross-departmental infrastructure that lays the technological foundation for AI and data applications in the Federal Administration. The aim of PLAIN is to establish a standard platform for the entire federal administration to securely process and analyse large, heterogeneous data sets – without thematic restrictions. This platform provides the Federal Government’s ministries and subordinate federal authorities with a solution to increase their political analysis capabilities and implement many of their data-driven, demanding tasks and projects.",National,Germany,DE,Bundesdruckerei Group – Federal AI Competence Center,Central-Government,General public services,R&D general public services.,Pilot,2024,,"Analysis, monitoring and regulatory research",Information analysis processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,https://www.bundesdruckerei.de/en/innovation-hub/plain,Planning,Searching,AI Services,,,,Fully internal,,National-funded project,,,,,,,11/6/2025,,0
PSTW-2485,Smart Street Lighting,https://loriot.io/use-cases/smart-lighting.html,"LORIOT's smart street lighting solution, implemented in Hafnarfjörður, Iceland, utilises LoRaWAN®-enabled controllers and the inteliLIGHT® platform to modernise urban lighting infrastructure. This system allows for precise control over 6,000 streetlights, enabling adaptive lighting based on real-time conditions. The integration has led to a 35% reduction in energy consumption and a 42% decrease in maintenance costs, while also enhancing public safety and supporting sustainability goals. The solution provides a scalable foundation for future smart city applications.",Local,Iceland,IS001,Hafnarfjörður Municipality,Local Government,Housing and community amenities,Street lighting.,Pilot,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://loriot.io/usecases.html,Planning,Optimisation,,,,,GovTech,,,Yes,Loriot - GTS-1084,,,,,11/6/2025,,0
PSTW-2487,Water Network Monitoring,https://loriot.io/use-cases/water-monitoring.html,"LORIOT's Water Network Monitoring use case, implemented by WaterScope Zrt. in Tápióság, Hungary, demonstrates the application of IoT technology to enhance water supply and quality in areas lacking traditional infrastructure. By deploying WaterScope S2N data acquisition and wireless transmission devices, the system continuously monitors pumping stations, measuring parameters such as pump performance, operating time, power consumption, water pressure, and water meter data. These devices utilise a LoRa network to transmit data to the LORIOT Network Management System, enabling real-time monitoring and alerting capabilities. The solution effectively operates without human intervention, even in remote locations, and provides actionable insights to optimise water distribution and reduce losses. This initiative contributes to sustainable water management practices and supports cost savings for water utilities",Regional,Hungary,HU102,Region of Tápióság,Regional Government,Housing and community amenities,Water supply.,Pilot,2024,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://loriot.io/usecases.html,Planning,Optimisation,,,,,GovTech,,,Yes,Loriot - GTS-1084,,,,,11/6/2025,,0
PSTW-2488,Data-driven Wildfire Prevention System for Forest,https://loriot.io/use-cases/wildfire-prevention-system.html,"LORIOT’s Wildfire Prevention System, deployed in Salzburg, Austria, uses LoRaWAN® sensors to monitor environmental factors like weather and soil moisture across 350 square kilometers. Developed with the Forest Department of Salzburg, it calculates the Fire Weather Index to provide real-time fire risk data. This helps authorities make timely decisions on fire prevention, improving forest safety and supporting sustainable management.",Local,Austria,AT34,Forest Department of Salzburg,Local Government,Public order and safety,Fire-protection services ,Pilot,2023,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://loriot.io/usecases.html,Planning,Optimisation,,,,,GovTech,,,Yes,Loriot - GTS-1084,,,,,11/6/2025,,0
PSTW-2489,"German Ministry of Research, Technology, and Space provides a popular chatbot to make project funding regulations more accessible",https://www.deepset.ai/case-studies/bundesministerium-fur-forschung-technologie-und-raumfahrt-bmftr,"​The deepset AI Platform is an enterprise-grade solution designed to streamline the development and deployment of custom generative AI agents and applications. Built on the open-source Haystack framework, it offers a modular and composable architecture that enables organisations to rapidly prototype, test, and scale AI solutions without vendor lock-in. The platform has had application also at the Federal Government level. ",National,Germany,DE,"German Federal Ministry of Research, Technology, and Space (BMFTR)",Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2025,,Internal management,Internal support processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,https://www.deepset.ai/,Learning,Machine learning,Generative AI,,,,Private corporation,,,No,Deepset,,,,,11/6/2025,,2
PSTW-2499,AI-Tour guide in the City of Tampere,https://www.bable-smartcities.eu/explore/use-cases/use-case/ai-tour-guide.html,"The ""AI Tour Guide"" project in Tampere, Finland, introduces an innovative approach to enhancing the tourist experience through the use of smart glasses equipped with an AI-powered assistant. These glasses provide real-time, multilingual information and recommendations about local attractions, such as monuments, restaurants, and museums. Tourists can rent the smart glasses from various Points-of-Service (POS) located at key spots like the airport, train station, and the Visit Tampere office. The AI assistant, powered by Meta AI technology, ensures that visitors receive up-to-date and comprehensive information, making their exploration of Tampere more engaging and informative. Additionally, local businesses have the opportunity to update their information in the database, promoting their offerings directly to tourists and enhancing the overall visitor experience. ",Local,Finland,FI197,City of Tampere,Local Government,"Recreation, culture and religion",Cultural services.,Pilot,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.bable-smartcities.eu/explore/use-cases.html,Perception,Computer vision,,,,,GovTech,,,Yes,Soundxvision - GTS-1086,,,,,11/6/2025,,0
PSTW-2500,Bike sharing availability optimisation in the City of Kuopio,https://www.bable-smartcities.eu/explore/use-cases/use-case/bike-sharing-bike-availability-optimization-in-kuopio-finland.html,"The ""Bike Sharing Availability Optimisation"" project in Kuopio, Finland, addresses the challenge of uneven bike distribution in the city's popular electric bike rental service. To ensure bikes are available where and when needed, the City of Kuopio implemented an AI-driven solution that analyses historical usage data to predict demand patterns. The system communicates real-time redistribution instructions to logistics operators via SMS or other channels, guiding them to move bikes to high-demand locations. A feedback loop allows operators to report on the effectiveness of these actions, enabling continuous refinement of the AI model. This approach aims to enhance service reliability and encourage greater use of sustainable transportation options. ",Local,Finland,FI1D1,City of Kuopio ,Local Government,Economic affairs,Transport,Pilot,2024,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://www.bable-smartcities.eu/explore/use-cases.html,Planning,Optimisation,,,,,GovTech,,,Yes,Contrasec - GTS-1087,,,,,11/6/2025,,4
PSTW-2502,Regional AI Hub/Centres for Environmental Data and Sustainable Mobility,https://innovazione.gov.it/notizie/articoli/il-dipartimento-regioni-e-province-autonome-insieme-per-l-innovazione/,"AI Regional Hubs for Environmental Data and Sustainable Mobility, developed within a federated framework and presented by the Lombardy Region (lead partner) together with the Veneto Region, aim to create a “smart land” through advanced analytical models built on a federated data architecture. The objective is to optimise environmental and mobility policies by leveraging artificial intelligence on a transregional scale to foster innovation and sustainability.",Regional,Italy,ITC4,Lombardy Region,Regional Government,Environmental protection,Environmental protection n.e.c.,Pilot,2025,,Internal management,Internal support processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,x,x,x,x,,,,,,,,https://innovazione.gov.it/notizie/articoli/il-dipartimento-regioni-e-province-autonome-insieme-per-l-innovazione/,Planning,Optimisation,,,,,Other PAs,,National-funded project,,,,,,,11/6/2025,,0
PSTW-2503,Regional AI Hubs/Centres for the PA,https://innovazione.gov.it/notizie/articoli/il-dipartimento-regioni-e-province-autonome-insieme-per-l-innovazione/,"AI Regional Hubs for Public Administration, presented by the Apulia Region (lead partner) in collaboration with Abruzzo, Marche, Umbria, Aosta Valley, Campania, and the Autonomous Province of Bolzano, aim to enhance the quality of administrative action and public sector work. The initiative supports human decision-making in public policy and technical-administrative procedures through the use of artificial intelligence.",Regional,Italy,ITF6,Puglia Region,Regional Government,General public services,General public services n.e.c.,Pilot,2025,,Internal management,Internal support processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,x,x,x,x,,,,,,,,https://innovazione.gov.it/notizie/articoli/il-dipartimento-regioni-e-province-autonome-insieme-per-l-innovazione/,Planning,Optimisation,,,,,Other PAs,,National-funded project,,,,,,,11/6/2025,,3
PSTW-2504,Regional AI Hubs/Centres for Resilience and Security of the Territory with 5G pilot action,https://innovazione.gov.it/notizie/articoli/il-dipartimento-regioni-e-province-autonome-insieme-per-l-innovazione/,"AI Regional Hubs for Territorial Resilience and Security with a 5G Pilot Initiative, presented by the Tuscany Region (lead partner), together with Friuli Venezia Giulia, Emilia-Romagna, and Sardinia, aim to prevent environmental risks and support the governance and monitoring of the territory, major infrastructure, construction sites, and buildings. The initiative focuses on risk monitoring, intervention planning, and improving emergency management and spatial planning through the use of artificial intelligence and 5G technologies.",Regional,Italy,ITI1,Tuscany Region,Regional Government,Environmental protection,R&D environmental protection.,Pilot,2025,,Internal management,Internal support processes,No,Yes,Artificial Intelligence,5G (Edge Computing),G2G,,,,,,,x,x,x,x,x,,,,,,,,https://innovazione.gov.it/notizie/articoli/il-dipartimento-regioni-e-province-autonome-insieme-per-l-innovazione/,Planning,Optimisation,,,,,Other PAs,,National-funded project,,,,,,,11/6/2025,,4
PSTW-2518,ChatAmsterdam - AI assistant for civil servants,https://www.amsterdam.nl/nieuws/nieuwsoverzicht/chatamsterdam/,"The City of Amsterdam has developed its own AI assistant, ChatAmsterdam, to support municipal employees with tasks such as drafting texts, summarising documents, and analysing complex information. Designed as a secure alternative to commercial AI tools like ChatGPT, ChatAmsterdam ensures that all data entered remains within the municipality and is not used to train external language models. This initiative aligns with Amsterdam's Agenda Digitale Stad, aiming to create a digital city that is human-centred, reliable, and future-proof. Following a six-month pilot involving over 800 civil servants and more than 34,000 assignments, the municipality is exploring ways to share its knowledge with other governmental bodies to foster a robust, shared digital infrastructure. ",Local,Netherlands,NL326,City of Amsterdam,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2024,,Internal management,Internal support processes,No,Yes,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,https://www.accountant.nl/nieuws/2025/5/amsterdam-maakt-eigen-ai-assistent-voor-ambtenaren/,Learning,Machine learning,Generative AI,Natural language processing,,chatbot,Fully internal,,,,,,,,,11/6/2025,,3
PSTW-2520,LOQUI - participation by speech,https://kia-digitalisering.nl/projecten/loqui-participation-by-speech,"People with a language deficit such as new Dutch citizens, status holders and low-literates, together with digital/illiterate people and blind/visually impaired people, have difficulty with the digitalisation of society. Also with the use of digital government services. The aim of this project is to develop AI-based speech technology 'LOQUI' (Latin for 'to speak'). In this way, digital tools can be developed, allowing the aforementioned vulnerable target groups to participate better in (digital) society. d-centralise wants to develop a speech control tool in Dutch, English and Arabic. This makes all digital government services controllable with speech. Language deficits can also be recognised immediately. ",National,Netherlands,NL,Netherlands Entreprise Agency,Central-Government,General public services,General public services n.e.c.,Pilot,2021,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://nlaic.com/en/news/these-12-ai-companies-received-sbir-funding-to-develop-human-centric-ai-solutions/,Communication,Natural language processing,,,,,Open Innovation/Challenges,,National-funded project,,,,,,,11/6/2025,,0
PSTW-2521,VITE-A2 Video and Text AI Analysis for Political Debates,https://vicarvision.nl/projects/VITE-A2/,"The VITE-A2 project (Video and Text AI Analysis for Political Debates) by VicarVision aims to enhance public understanding of municipal council meetings in the Netherlands through AI-driven analysis. Funded by a Dutch SBIR (Small Business Innovation Research) initiative, the project explores the use of video and text AI technologies to summarise and present lengthy and complex political discussions in a more accessible format. By leveraging expertise in emotion analysis, pose, voice, and sentiment detection, VITE-A2 seeks to bridge the gap between government and citizens, fostering increased civic engagement. The project's outcomes include a paper prototype and plans for further development based on feasibility studies and stakeholder feedback.",National,Netherlands,NL,Netherlands Entreprise Agency,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2022,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,,x,,,,,,,,https://vicarvision.nl/,Learning,Machine learning,Natural language processing,,,,Open Innovation/Challenges,,National-funded project,Yes,VicarVision - GTS-1088,,,,,11/6/2025,,3
PSTW-2528,OLI Chatbot across spanish airports,https://www.canarianweekly.com/posts/Oli-The-new-digital-assistant-helping-passengers-at-Canary-Islands-airports,"Oli is a multilingual digital assistant developed by AENA to enhance passenger experience across Spanish airports, including the Canary Islands. Accessible via WhatsApp, the AENA website and app, and Facebook, Oli provides real-time flight updates, boarding gate details, terminal navigation assistance, and information on airport services. Introduced at Madrid airport in December 2022, Oli had interacted with approximately 940,000 users by April 2024, leading to its expansion to other major airports. This initiative is part of AENA's broader strategy to incorporate technology for improved customer service and operational efficiency.",National,Spain,ES,Aena (Aeropuertos Españoles y Navegación Aérea),Central-Government,Economic affairs,Transport,Implemented,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,Communication,Natural language processing,,,,chatbot,,,,,,,,,,11/6/2025,,1
PSTW-2529,Spain’s Social Security administration: Using AI to deliver benefits to citizens more efficiently with the ISSA Social Security Virtual Assistant,https://cloud.google.com/customers/seguridad-social,"The Social Security’s AI virtual assistant provides citizens with immediate, 24/7 access to official information and guidance on frequently requested procedures, thus significantly reducing administrative workloads. The chatbot initially tackled 37 core services, encompassing access to benefits as well as routine processes. On its first month, the chatbot had over 2 million interactions.",National,Spain,ES,Ministry of Inclusion,Central-Government,Social protection,Social protection n.e.c.,Implemented,2020,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,x,x,x,x,x,,,,,,,,,,,,,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,Communication,Natural language processing,,,,chatbot,Private corporation,,,,Google Cloud and Accenture,,,,,11/6/2025,,0
PSTW-2530,Streamlining the Kit Consulting financing programme with AI,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,"The Kit Consulting program, led by Red.es, supports SMEs with specialised digital consulting services and integrates a pioneering AI platform to streamline the verification of submitted documents. The AI system detects plagiarism, duplicates, and assesses document quality, significantly reducing review times and improving efficiency. By cutting processing time per document from 5 hours to 1.5 hours (an 80% reduction) the system will handle around 45,000 documents and perform up to 1 billion comparisons to ensure originality. Using Deep Learning and Large Language Models (LLMs), the platform enhances traceability, security, and quality in the aid payment process. Digital advisors and grant recipients submit documentation electronically, with AI playing a key role in expediting reviews.",National,Spain,ES,Red.es,Central-Government,General public services,General services.,Implemented,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,,x,,,,,,,,https://www.red.es/es/actualidad/noticias/kit-consulting-incorporacion-ia-justificacion-ayudas,Learning,Machine learning,Generative AI,Deep learning,,,,,,,,,,,,11/6/2025,,0
PSTW-2531,City of Valencia chatbot for citizens on tax enquiries,https://1millionbot.com/en/85000-tax-queries-resolved-by-the-AI-%E2%80%8B%E2%80%8Bassistant-of-the-Valencia-Provincial-Council-developed-by-1millionbot/,"Operating on the millie platform from 1MillionBot, Gestri offers seamless integration into various communication channels, providing instant responses in Valencian, Spanish and English. This platform allows complete data management and personalisation of the assistant, ensuring that each interaction is effective and adapted to the user's needs. The constant availability of Gestri, which operates 24 hours a day through the Provincial Council web portal and other digital media, has optimised taxpayer service. This has allowed the Valencia Provincial Council to free up resources for tasks that require a more human and specialised approach.",Local,Spain,ES521,City of Valencia,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2024,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,,x,x,x,x,x,,,,,,,,,,,,,https://1millionbot.com/en/85000-tax-queries-resolved-by-the-AI-%E2%80%8B%E2%80%8Bassistant-of-the-Valencia-Provincial-Council-developed-by-1millionbot/,Communication,Natural language processing,,,,chatbot,GovTech,,,Yes,1millionbot - GTS-1089,,,,,11/6/2025,,1
PSTW-2532,AI to streamline rental subsidies procedures in the Region of Valencia,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,"The Valencian Regional Government has developed an AI-based solution to reduce administrative processing time and burdens associated with rental subsidy programs. This system automatically verifies rental contracts and pay slips, avoiding redundant request for documentation, streamlining the application process and significantly cutting verification time. This allows administrative personnel to focus solely on complex cases that require manual review, increasing overall efficiency.",Regional,Spain,ES5,Valencian Regional Government,Regional Government,Social protection,Social protection n.e.c.,Implemented,2025,,Adjudication,Taking decisions on benefits  ,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,,x,,,,,,,,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,Reasoning,Automated reasoning and Automated Decision Making (ADM),,,,,,,,,,,,,,11/6/2025,,0
PSTW-2533,Recognition of university degrees with AI,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,"The Ministry of Science, Innovation, and Universities is starting to use AI and other automation technologies to streamline the process of recognition of foreign university degrees. The process not only eliminates repetitive paperwork but also will significantly shorten waiting times from years to months. This application will also improve the implementation of public policies, facilitating the incorporation of foreign professionals into tight, high-value areas of the labor market.",National,Spain,ES,"Ministry of Science, Innovation, and Universities",Central-Government,Education,Tertiary education.,Implemented,2025,,Enforcement,Certification and validation processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,,x,,,,,,,,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,Reasoning,Automated reasoning and Automated Decision Making (ADM),,,,,,,,,,,,,,11/6/2025,,0
PSTW-2534,AI for Fiscal Compliance,https://sede.agenciatributaria.gob.es/Sede/en_gb/notas-prensa/notas-prensa/2025/marzo/17/agencia-tributaria-impulsa-control-personas-declarados.html,"The Spanish Tax Agency (AEAT) is applying AI tools to enhance the effectiveness and efficiency of tax and customs operations, placing, strategic emphasis on taxpayer support, information management, and preventive measures. The adoption of AI technologies will streamline tax compliance procedures, simplifying taxpayer responsibilities and improving the accuracy of submitted data. By proactively addressing common reporting errors, AI solutions will substantially reduce the frequency of audits and subsequent tax regularisations. The implementation follows a ""human-in-the-loop"", approach, ensuring continuous human oversight. Tax professionals will actively review, assess, and validate AI-based tools and outcomes to guarantee reliability and accountability.",National,Spain,ES,Spanish Tax Agency (AEAT) ,Central-Government,Economic affairs,Economic affairs n.e.c,In development,2025,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,,x,,,x,,,,,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,Learning,Machine learning,,,,,,,,,,,,,,11/6/2025,,0
PSTW-2535,BRAVA (Bid Rigging Algorithm for Vigilance in Antitrust),https://blog.cnmc.es/2024/04/11/premio-a-brava-cnmc-contra-el-fraude-en-contratacion-publica/,"The Comisión Nacional de los Mercados y la Competencia (CNMC) has developed BRAVA (Bid Rigging Algorithm for Vigilance in Antitrust), an AI-powered tool designed to detect collusion in public procurement processes. By analysing large datasets from public tenders, BRAVA classifies bids as either competitive or potentially collusive, enhancing the CNMC's ability to identify and address anti-competitive practices. This innovative approach has earned the CNMC recognition in the ""AI for Fraud and Corruption Detection"" category at the Socinfo Digital Awards.",National ,Spain,ES,Comisión Nacional de los Mercados y la Competencia (CNMC),Central-Government,Economic affairs,Economic affairs n.e.c,Implemented,2024,,Enforcement,Supporting inspection processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,,x,,,x,,,,,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,Learning,Machine learning,,,,,,,,,,,,,,11/6/2025,,2
PSTW-2536,HipatIA - AI-driven forecasting tool for educational services,https://www.ayesa.com/en/projects/hipatia-ai-powered-predictive-information-and-data-analysis-processing-tool/,"The Andalusian Regional Government is using an AI-driven forecasting tool to improve the impact and speed of educational services. One of the applications is “Hipatia”, an AI solution that implements predictive analytics methodologies to analyse historical student data to accurately predict key educational indicators. Hipatia helps the Department of Education and Vocational Training to anticipate critical needs such as teacher allocation, classroom requirements and vocational training. Thus, schools can offer student personalised support (such as tutoring and guidance) and education authorities can optimize professors or classroom planning decisions in advance.",Regional,Spain,ES6,"Ministry of Education and Vocational Training, Regional Government of Andalusia",Regional Government,Education,Education n.e.c.,Implemented,2019,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,x,x,,,,,,,,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,Planning,Planning and Scheduling,,,,,Private corporation,,EU-funded project,,Ayesa,,,,,11/6/2025,,0
PSTW-2537,Smart lighting with AI in Barcelona,https://kurrant.com/kurrantly-news/barcelona-to-reduce-traffic-congestion-by-20-with-ai-powered-smart-traffic-lights/,"Barcelona has announced a new initiative to deploy AI-driven smart traffic lights, aiming to cut traffic congestion by 20%. The project, part of the city’s 2025 Sustainable Mobility Plan, will use sensors and AI algorithms to adjust traffic light timings in real time based on traffic density. Developed in partnership with local startups the system aims to cut travel times during peak hours and reduce CO2 emissions. ",Local,Spain,ES511,Barcelona City Council,Local Government,Housing and community amenities,Street lighting.,Pilot,2025,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,,x,x,,,,,,,,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,Planning,Optimisation,,,,,GovTech,,,Yes,,,,,,11/6/2025,,2
PSTW-2538,ADIA - the AI Document Assistant for spanish Courts,https://www.administraciondejusticia.gob.es/-/adia-anonimizado-de-documentos,"The ADIA (AI Document Assistant) is a tool from Spain’s Ministry of Justice designed to streamline document handling in judicial processes. It allows users, especially legal professionals, to anonymise and summarise documents quickly and securely. Accessible via the internal network and SARA, it removes sensitive personal data to ensure confidentiality and generates condensed versions that capture key information efficiently. This service operates nationwide, automatically processing uploads through a web interface integrated with existing judicial systems to support privacy and efficiency.",National,Spain,ES,"Spanish Ministry of the Presidency, Justice and Parliamentary Relation",Central-Government,Public order and safety,Law courts,Implemented,2023,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,x,x,,,,,,,,https://www.esade.edu/ecpol/wp-content/uploads/2025/05/AAFF_EsadeEcPolxGoogle_AIbenefits__ENG_vfinal.pdf,Communication,Natural language processing,,,,,,,,,,,,,,11/6/2025,,0
